Time(s),CH1V
3.056000e-02,1.205467e+00
3.072000e-02,1.180667e+00
3.088000e-02,1.209867e+00
3.104000e-02,1.290933e+00
3.120000e-02,1.374267e+00
3.136000e-02,1.414800e+00
3.152000e-02,1.466667e+00
3.168000e-02,1.545467e+00
3.184000e-02,1.558933e+00
3.200000e-02,1.570267e+00
3.216000e-02,1.608533e+00
3.232000e-02,1.613067e+00
3.248000e-02,1.664800e+00
3.264000e-02,1.599467e+00
3.280000e-02,1.622000e+00
3.296000e-02,1.561200e+00
3.312000e-02,1.552267e+00
3.328000e-02,1.511733e+00
3.344000e-02,1.446400e+00
3.360000e-02,1.414800e+00
3.376000e-02,1.347333e+00
3.392000e-02,1.234667e+00
3.408000e-02,1.191867e+00
3.424000e-02,1.140133e+00
3.440000e-02,1.187467e+00
3.456000e-02,1.275200e+00
3.472000e-02,1.302267e+00
3.488000e-02,1.365333e+00
3.504000e-02,1.423867e+00
3.520000e-02,1.414800e+00
3.536000e-02,1.480133e+00
3.552000e-02,1.498133e+00
3.568000e-02,1.547733e+00
3.584000e-02,1.545467e+00
3.600000e-02,1.577067e+00
3.616000e-02,1.561200e+00
3.632000e-02,1.516267e+00
3.648000e-02,1.468933e+00
3.664000e-02,1.473467e+00
3.680000e-02,1.437333e+00
3.696000e-02,1.367600e+00
3.712000e-02,1.318000e+00
3.728000e-02,1.230133e+00
3.744000e-02,1.153600e+00
3.760000e-02,1.117600e+00
3.776000e-02,1.043333e+00
3.792000e-02,9.937333e-01
3.808000e-02,1.104133e+00
3.824000e-02,1.124400e+00
3.840000e-02,1.146800e+00
3.856000e-02,1.225733e+00
3.872000e-02,1.304533e+00
3.888000e-02,1.302267e+00
3.904000e-02,1.401333e+00
3.920000e-02,1.381067e+00
3.936000e-02,1.432933e+00
3.952000e-02,1.435067e+00
3.968000e-02,1.471200e+00
3.984000e-02,1.446400e+00
4.000000e-02,1.435067e+00
4.016000e-02,1.383333e+00
4.032000e-02,1.358533e+00
4.048000e-02,1.342800e+00
4.064000e-02,1.248267e+00
4.080000e-02,1.248267e+00
4.096000e-02,1.191867e+00
4.112000e-02,1.099600e+00
4.128000e-02,1.059067e+00
4.144000e-02,1.036533e+00
4.160000e-02,1.045467e+00
4.176000e-02,1.077067e+00
4.192000e-02,1.142400e+00
4.208000e-02,1.187467e+00
4.224000e-02,1.268533e+00
4.240000e-02,1.268533e+00
4.256000e-02,1.288800e+00
4.272000e-02,1.322533e+00
4.288000e-02,1.324800e+00
4.304000e-02,1.385600e+00
4.320000e-02,1.369867e+00
4.336000e-02,1.333733e+00
4.352000e-02,1.320267e+00
4.368000e-02,1.304533e+00
4.384000e-02,1.295467e+00
4.400000e-02,1.212133e+00
4.416000e-02,1.189600e+00
4.432000e-02,1.164933e+00
4.448000e-02,1.092800e+00
4.464000e-02,1.036533e+00
4.480000e-02,9.982667e-01
4.496000e-02,9.149333e-01
4.512000e-02,9.013333e-01
4.528000e-02,9.644000e-01
4.544000e-02,9.846667e-01
4.560000e-02,1.047733e+00
4.576000e-02,1.110800e+00
4.592000e-02,1.108533e+00
4.608000e-02,1.178400e+00
4.624000e-02,1.203200e+00
4.640000e-02,1.232400e+00
4.656000e-02,1.236933e+00
4.672000e-02,1.297733e+00
4.688000e-02,1.311200e+00
4.704000e-02,1.300000e+00
4.720000e-02,1.239200e+00
4.736000e-02,1.250400e+00
4.752000e-02,1.200933e+00
4.768000e-02,1.180667e+00
4.784000e-02,1.128800e+00
4.800000e-02,1.074800e+00
4.816000e-02,1.050000e+00
4.832000e-02,9.780000e-01
4.848000e-02,9.824000e-01
4.864000e-02,8.946667e-01
4.880000e-02,9.352000e-01
4.896000e-02,9.824000e-01
4.912000e-02,1.020800e+00
4.928000e-02,1.059067e+00
4.944000e-02,1.088267e+00
4.960000e-02,1.110800e+00
4.976000e-02,1.191867e+00
4.992000e-02,1.207733e+00
5.008000e-02,1.212133e+00
5.024000e-02,1.198667e+00
5.040000e-02,1.203200e+00
5.056000e-02,1.239200e+00
5.072000e-02,1.185200e+00
5.088000e-02,1.223467e+00
5.104000e-02,1.133333e+00
5.120000e-02,1.106267e+00
5.136000e-02,1.070267e+00
5.152000e-02,9.982667e-01
5.168000e-02,9.600000e-01
5.184000e-02,9.352000e-01
5.200000e-02,8.248000e-01
5.216000e-02,8.405333e-01
5.232000e-02,8.316000e-01
5.248000e-02,8.225334e-01
5.264000e-02,8.969333e-01
5.280000e-02,9.216000e-01
5.296000e-02,9.464000e-01
5.312000e-02,9.982667e-01
5.328000e-02,1.022933e+00
5.344000e-02,1.077067e+00
5.360000e-02,1.128800e+00
5.376000e-02,1.126533e+00
5.392000e-02,1.140133e+00
5.408000e-02,1.171600e+00
5.424000e-02,1.169333e+00
5.440000e-02,1.137867e+00
5.456000e-02,1.122133e+00
5.472000e-02,1.113067e+00
